,type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldPrice,soldOn,listPrice,status
818,single_family,1948.0,2.0,1.0,1.0,,2.0,,912.0,2.0,,,85000.0,for_sale
232,single_family,,6.0,13.0,8.0,5.0,1.0,6599.0,20002.0,3.0,,,15750000.0,for_sale
1913,multi_family,1903.0,4.0,2.0,2.0,,,3100.0,,,,,129000.0,for_sale
1430,land,,,0.0,,,,6191.0,,,126000.0,2002-12-02,30000.0,for_sale
897,single_family,,4.0,3.0,2.0,1.0,2.0,,2867.0,,450000.0,2004-01-21,715000.0,for_sale
931,single_family,1904.0,7.0,7.0,5.0,2.0,2.0,23479.0,10709.0,3.0,1500000.0,1999-08-05,3249000.0,for_sale
1801,single_family,1956.0,3.0,1.0,1.0,,2.0,3001.0,1000.0,1.0,68000.0,2015-05-15,270000.0,for_sale
1171,multi_family,1890.0,4.0,2.0,2.0,,,,,,,,130000.0,for_sale
1129,single_family,1903.0,4.0,4.0,3.0,1.0,3.0,7500.0,4413.0,2.0,906000.0,2017-01-04,1295000.0,for_sale
113,multi_family,1885.0,6.0,2.0,2.0,,2.0,,,,305000.0,2021-05-17,649900.0,for_sale
108,townhomes,1991.0,3.0,3.0,2.0,1.0,2.0,1586.0,3200.0,3.0,,,1150000.0,for_sale
1559,multi_family,1925.0,6.0,5.0,5.0,,2.0,3000.0,5400.0,,,,825000.0,for_sale
202,condos,2000.0,2.0,2.0,2.0,,1.0,,,27.0,437000.0,2020-11-03,449900.0,for_sale
1365,single_family,1950.0,2.0,1.0,1.0,,1.0,5625.0,1000.0,1.0,,,375000.0,for_sale
1102,single_family,1928.0,4.0,3.0,3.0,,1.0,,2400.0,,,,399900.0,for_sale
1234,single_family,1891.0,4.0,3.0,2.0,1.0,2.0,11368.0,2200.0,3.0,1515000.0,2014-06-13,689900.0,for_sale
201,condos,1960.0,0.0,1.0,1.0,,1.0,,500.0,28.0,330000.0,2008-03-27,169900.0,for_sale
70,condos,1917.0,2.0,1.0,1.0,,,,1200.0,1.0,200000.0,2016-06-03,280000.0,for_sale
6,single_family,2013.0,5.0,5.0,4.0,1.0,2.0,3125.0,4200.0,2.0,1267500.0,2015-09-03,1500000.0,for_sale
86,condos,1928.0,2.0,1.0,1.0,,1.0,,1400.0,3.0,,,399000.0,for_sale
39,single_family,1966.0,3.0,3.0,2.0,1.0,2.0,,2527.0,1.0,165000.0,2001-09-27,354999.0,for_sale
884,condos,1965.0,2.0,2.0,2.0,,1.0,,,5.0,160000.0,2001-05-07,239500.0,for_sale
1852,townhomes,1945.0,3.0,2.0,1.0,1.0,,,936.0,2.0,117000.0,2021-05-14,99000.0,for_sale
1154,townhomes,2008.0,5.0,5.0,4.0,1.0,2.0,,3074.0,4.0,,,995000.0,for_sale
1019,condos,2004.0,3.0,3.0,2.0,1.0,1.0,,2250.0,4.0,181000.0,2015-10-09,375000.0,for_sale
956,single_family,1963.0,3.0,2.0,1.0,1.0,2.0,3750.0,1080.0,,135500.0,1994-04-25,320000.0,for_sale
1093,condos,1916.0,2.0,1.0,1.0,,,,800.0,3.0,190000.0,2020-12-21,229000.0,for_sale
27,single_family,1958.0,5.0,5.0,4.0,1.0,,11748.0,6000.0,2.0,430000.0,2022-02-01,649000.0,for_sale
1626,single_family,2006.0,3.0,2.0,2.0,,,,1436.0,2.0,131500.0,2005-05-25,129900.0,for_sale
1552,condos,,2.0,1.0,1.0,,,,870.0,3.0,70000.0,2022-05-05,99000.0,for_sale
813,multi_family,2023.0,9.0,6.0,6.0,,3.0,3900.0,,,,,1150000.0,for_sale
485,condos,1975.0,3.0,3.0,2.0,1.0,1.0,,3000.0,73.0,1800000.0,2023-08-24,2099000.0,for_sale
1881,condos,1888.0,2.0,2.0,2.0,,,,,2.0,212500.0,2009-06-02,320000.0,for_sale
53,single_family,1902.0,3.0,2.0,1.0,1.0,,4182.0,1628.0,2.0,,,279900.0,for_sale
1388,condos,1916.0,2.0,2.0,2.0,,,,1400.0,3.0,4500000.0,2020-10-27,440000.0,for_sale
1770,single_family,1891.0,4.0,2.0,2.0,,,2962.0,1360.0,2.0,18500.0,2013-10-15,267400.0,for_sale
1032,single_family,1962.0,3.0,1.0,1.0,,2.0,,1036.0,,,,205000.0,for_sale
187,condos,2007.0,2.0,2.0,2.0,,1.0,,,7.0,368000.0,2018-09-24,387500.0,for_sale
329,single_family,1921.0,4.0,3.0,3.0,,2.0,3250.0,1400.0,2.0,504500.0,2002-11-12,249900.0,for_sale
1603,single_family,1957.0,3.0,2.0,2.0,,1.0,4000.0,,1.0,222000.0,2002-05-31,350000.0,for_sale
500,condos,1900.0,3.0,3.0,3.0,,1.0,,2300.0,4.0,445000.0,2012-10-18,625000.0,for_sale
462,condos,,2.0,1.0,1.0,,,,1000.0,3.0,,,210000.0,for_sale
236,single_family,2023.0,3.0,2.0,2.0,,,3125.0,1445.0,2.0,,,389999.0,for_sale
1942,condos,2000.0,3.0,2.0,2.0,,,,1204.0,3.0,216000.0,2003-04-02,425000.0,for_sale
7,single_family,1924.0,2.0,2.0,1.0,1.0,2.0,3775.0,1637.0,2.0,,,110000.0,for_sale
1983,single_family,1915.0,4.0,3.0,3.0,,2.0,2652.0,1400.0,2.0,95000.0,2006-08-21,125000.0,for_sale
930,single_family,2010.0,4.0,3.0,2.0,1.0,2.0,5227.0,1668.0,2.0,200000.0,2007-06-14,539900.0,for_sale
404,single_family,1927.0,3.0,2.0,2.0,,2.0,2892.0,1176.0,2.0,290000.0,2006-03-31,299500.0,for_sale
879,single_family,2003.0,7.0,5.0,4.0,1.0,2.0,3123.0,5200.0,3.0,,,2200000.0,for_sale
1676,single_family,1926.0,3.0,2.0,2.0,,2.0,4835.0,1176.0,2.0,195000.0,2014-12-16,,for_sale
1869,single_family,1927.0,6.0,2.0,2.0,,2.0,5227.0,2217.0,2.0,55000.0,2013-10-23,176000.0,for_sale
1847,condos,2005.0,2.0,2.0,2.0,,1.0,,1525.0,1.0,475000.0,2016-03-28,525900.0,for_sale
1461,condos,1996.0,1.0,2.0,1.0,1.0,1.0,,1150.0,7.0,406000.0,2017-02-02,410000.0,for_sale
1218,multi_family,1923.0,8.0,3.0,3.0,,2.0,3750.0,2450.0,,230000.0,2006-03-22,149000.0,for_sale
437,condos,1925.0,4.0,2.0,2.0,,,,1340.0,4.0,,,285000.0,for_sale
1731,townhomes,1965.0,3.0,2.0,2.0,,,,1885.0,3.0,455000.0,2020-07-01,550000.0,for_sale
1521,single_family,1950.0,3.0,3.0,2.0,1.0,2.0,4687.0,1320.0,1.0,145000.0,2014-04-02,269000.0,for_sale
526,multi_family,1924.0,6.0,3.0,2.0,1.0,1.0,,2944.0,,95000.0,1993-04-06,315000.0,for_sale
1766,multi_family,1928.0,6.0,2.0,2.0,,2.0,7076.0,,,320000.0,2000-10-03,650000.0,for_sale
672,single_family,1999.0,4.0,3.0,3.0,,2.0,4961.0,2170.0,2.0,178000.0,1999-12-08,399900.0,for_sale
229,land,1987.0,,0.0,,,,190.0,,,42000.0,2004-09-16,29000.0,for_sale
1638,condos,1926.0,2.0,1.0,1.0,,,,,15.0,,,169900.0,for_sale
603,single_family,1956.0,3.0,2.0,2.0,,2.0,7815.0,1275.0,1.0,356000.0,2018-06-15,525000.0,for_sale
1539,single_family,1926.0,4.0,4.0,3.0,1.0,2.0,3659.0,2862.0,2.0,145000.0,2021-10-14,210000.0,for_sale
50,single_family,1923.0,2.0,2.0,2.0,,,,,,,,410000.0,for_sale
230,land,1923.0,,0.0,,,,162.0,,,520000.0,2022-03-23,150.0,for_sale
559,condos,1972.0,2.0,2.0,1.0,1.0,,,1200.0,2.0,370500.0,2019-07-29,415000.0,for_sale
387,condos,2001.0,3.0,3.0,2.0,1.0,2.0,,2200.0,3.0,,,700000.0,for_sale
802,condos,,2.0,2.0,2.0,,,,1345.0,3.0,442500.0,2021-01-14,535000.0,for_sale
1733,single_family,1952.0,4.0,3.0,3.0,,2.0,5624.0,3333.0,2.0,320000.0,2022-02-15,679900.0,for_sale
823,single_family,1895.0,4.0,2.0,1.0,1.0,,,1650.0,2.0,25500.0,1987-03-03,120000.0,for_sale
958,condos,1919.0,3.0,2.0,2.0,,,,2000.0,3.0,498500.0,2002-09-05,595000.0,for_sale
1538,townhomes,1964.0,2.0,2.0,1.0,1.0,,450.0,1177.0,2.0,,,60000.0,for_sale
376,condos,1995.0,3.0,3.0,2.0,1.0,1.0,,,3.0,,,975000.0,for_sale
785,condos,,1.0,1.0,1.0,,,,,5.0,135000.0,2011-09-12,264900.0,for_sale
513,single_family,1957.0,3.0,2.0,2.0,,2.0,4750.0,1336.0,1.0,135000.0,1998-01-29,349900.0,for_sale
1213,single_family,1871.0,5.0,6.0,5.0,1.0,,2460.0,4950.0,3.0,2875000.0,2018-04-30,2950000.0,for_sale
935,townhomes,1966.0,3.0,2.0,1.0,1.0,,,1217.0,2.0,,,290000.0,for_sale
793,single_family,1955.0,5.0,4.0,2.0,2.0,1.0,4748.0,2782.0,2.0,160000.0,2013-06-06,300000.0,for_sale
1764,single_family,1888.0,4.0,2.0,2.0,,,4375.0,1460.0,2.0,14500.0,2009-07-06,169900.0,for_sale
502,condos,1957.0,2.0,1.0,1.0,,1.0,,,23.0,140000.0,2024-01-18,299900.0,for_sale
737,single_family,1940.0,4.0,2.0,1.0,1.0,3.0,9375.0,1674.0,2.0,,,355000.0,for_sale
565,condos,2008.0,2.0,2.0,2.0,,1.0,,1464.0,47.0,773000.0,2008-06-23,739000.0,for_sale
304,single_family,1895.0,3.0,4.0,2.0,2.0,2.0,3123.0,3222.0,2.0,640000.0,2018-08-13,950000.0,for_sale
1203,single_family,,4.0,2.0,2.0,,,1951.0,2000.0,2.0,210000.0,2019-08-21,635000.0,for_sale
859,condos,2009.0,3.0,2.0,2.0,,,,1086.0,3.0,,,229900.0,for_sale
663,single_family,1956.0,3.0,2.0,2.0,,2.0,3746.0,1039.0,1.0,73000.0,1985-08-01,349963.0,for_sale
1270,condos,,2.0,1.0,1.0,,,,750.0,4.0,241000.0,2019-07-05,330000.0,for_sale
706,townhomes,1997.0,2.0,2.0,2.0,,2.0,,2126.0,3.0,,,290000.0,for_sale
824,condos,1911.0,2.0,1.0,1.0,,,,1100.0,3.0,,,325000.0,for_sale
119,condos,2019.0,4.0,5.0,3.0,2.0,1.0,,4000.0,4.0,,,1599000.0,for_sale
609,land,,,0.0,,,,2614.0,,,,,29900.0,for_sale
93,condos,1997.0,3.0,3.0,3.0,,,,,3.0,425000.0,2015-03-03,699900.0,for_sale
1576,condos,,3.0,2.0,2.0,,,,1615.0,3.0,305000.0,2014-08-15,449000.0,for_sale
475,condos,2009.0,3.0,4.0,3.0,1.0,1.0,,2540.0,40.0,1787500.0,2019-08-15,1950000.0,for_sale
335,single_family,1922.0,4.0,3.0,3.0,,2.0,8950.0,1176.0,2.0,310000.0,2008-03-31,455000.0,for_sale
690,condos,1924.0,1.0,1.0,1.0,,,,900.0,12.0,,,174900.0,for_sale
908,single_family,1900.0,6.0,7.0,4.0,3.0,2.0,7040.0,5730.0,3.0,415000.0,1984-05-02,2895000.0,for_sale
906,single_family,1989.0,3.0,3.0,3.0,,2.0,3746.0,2688.0,,227500.0,2000-12-07,447000.0,for_sale
777,townhomes,1958.0,2.0,3.0,2.0,1.0,,990.0,1036.0,2.0,245000.0,2006-01-23,259900.0,for_sale
188,condos,,1.0,1.0,1.0,,1.0,,,7.0,239000.0,2007-12-14,249900.0,for_sale
469,condos,,1.0,1.0,1.0,,,,,4.0,73500.0,1999-07-16,142000.0,for_sale
907,condos,1924.0,2.0,1.0,1.0,,,,,3.0,71000.0,2010-01-07,165000.0,for_sale
1862,single_family,,5.0,2.0,2.0,,,6800.0,1700.0,2.0,,,139900.0,for_sale
267,single_family,1914.0,2.0,2.0,2.0,,,6075.0,1344.0,2.0,65000.0,2009-07-10,39900.0,for_sale
1321,single_family,1910.0,4.0,2.0,2.0,,2.0,3125.0,1492.0,2.0,200000.0,2002-08-01,649900.0,for_sale
1439,single_family,1921.0,2.0,2.0,2.0,,2.0,,1320.0,2.0,21500.0,1979-01-22,215000.0,for_sale
1720,single_family,,3.0,4.0,3.0,1.0,2.0,5119.0,3000.0,2.0,800000.0,2017-01-11,965000.0,for_sale
1729,single_family,2017.0,4.0,4.0,3.0,1.0,2.0,2378.0,2875.0,3.0,855000.0,2020-12-30,974900.0,for_sale
510,condos,2006.0,2.0,2.0,2.0,,1.0,,1205.0,23.0,413000.0,2016-09-23,399900.0,for_sale
573,single_family,1959.0,3.0,3.0,1.0,2.0,2.0,5000.0,1483.0,1.0,285000.0,2012-07-06,479900.0,for_sale
1188,single_family,1952.0,3.0,2.0,2.0,,2.0,3920.0,1131.0,1.0,182500.0,2019-06-05,295000.0,for_sale
1398,multi_family,1957.0,7.0,6.0,6.0,,2.0,4880.0,1850.0,,610000.0,2004-11-08,819000.0,for_sale
1409,condos,1955.0,1.0,1.0,1.0,,1.0,,,19.0,201000.0,2004-08-30,209900.0,for_sale
995,multi_family,1919.0,6.0,2.0,2.0,,,3125.0,,,,,380000.0,for_sale
1832,single_family,1926.0,4.0,3.0,3.0,,1.0,,2600.0,,,,599000.0,for_sale
1630,townhomes,2009.0,3.0,4.0,3.0,1.0,2.0,2640.0,2320.0,3.0,535000.0,2019-06-07,659999.0,for_sale
1784,single_family,1958.0,3.0,1.0,1.0,,2.0,6250.0,1075.0,1.0,91000.0,1996-06-21,275000.0,for_sale
855,multi_family,1916.0,4.0,3.0,3.0,,1.0,3750.0,,,20000.0,2010-06-22,39500.0,for_sale
621,single_family,1937.0,3.0,2.0,2.0,,2.0,4960.0,1820.0,2.0,300000.0,2004-11-29,389000.0,for_sale
585,condos,1966.0,1.0,1.0,1.0,,,,850.0,23.0,65000.0,2011-07-08,149999.0,for_sale
833,single_family,1933.0,4.0,5.0,4.0,1.0,,,4000.0,,,,1200000.0,for_sale
186,condos,1972.0,2.0,2.0,2.0,,1.0,,1762.0,45.0,275000.0,2004-05-07,398000.0,for_sale
815,single_family,1942.0,2.0,1.0,1.0,,1.0,4356.0,974.0,2.0,,,230000.0,for_sale
1838,single_family,1896.0,3.0,4.0,3.0,1.0,2.0,3750.0,3800.0,2.0,394000.0,2022-05-25,1349000.0,for_sale
1854,single_family,1921.0,4.0,3.0,3.0,,2.0,3136.0,2200.0,2.0,105000.0,2023-05-25,335000.0,for_sale
1423,single_family,1955.0,4.0,4.0,3.0,1.0,,4687.0,,1.0,,,259000.0,for_sale
210,condos,,2.0,1.0,1.0,,,,,2.0,151000.0,2015-07-17,249000.0,for_sale
1996,condos,1962.0,3.0,2.0,2.0,,1.0,,1498.0,27.0,,,260000.0,for_sale
1668,multi_family,1916.0,4.0,3.0,3.0,,,3125.0,,,80000.0,2009-09-01,284900.0,for_sale
1558,single_family,1921.0,6.0,3.0,3.0,,2.0,3751.0,2532.0,2.0,70500.0,2021-04-14,209900.0,for_sale
336,single_family,1923.0,2.0,2.0,1.0,1.0,2.0,3684.0,1280.0,2.0,147000.0,1999-02-03,359000.0,for_sale
1468,multi_family,1917.0,4.0,3.0,3.0,,2.0,3750.0,,,,,593000.0,for_sale
1453,condos,2012.0,4.0,2.0,2.0,,1.0,2750.0,,3.0,,,589900.0,for_sale
1965,condos,1914.0,1.0,1.0,1.0,,,,1200.0,7.0,,,225000.0,for_sale
858,multi_family,1879.0,5.0,2.0,2.0,,,3049.0,,,13000.0,2012-12-31,255000.0,for_sale
328,single_family,1903.0,5.0,4.0,4.0,,2.0,3999.0,1124.0,2.0,,,99900.0,for_sale
851,single_family,1925.0,7.0,9.0,7.0,2.0,4.0,,12250.0,,,,13900000.0,for_sale
337,single_family,1944.0,3.0,2.0,1.0,1.0,2.0,4250.0,1490.0,2.0,102000.0,2023-03-13,308900.0,for_sale
1355,single_family,1926.0,4.0,2.0,1.0,1.0,1.0,14643.0,1417.0,2.0,285000.0,2013-09-10,329000.0,for_sale
1268,condos,1955.0,1.0,1.0,1.0,,1.0,,,21.0,133000.0,2021-07-15,180000.0,for_sale
115,multi_family,1910.0,5.0,2.0,2.0,,2.0,3485.0,,,26000.0,2012-12-11,284900.0,for_sale
881,multi_family,1900.0,6.0,2.0,2.0,,,3049.0,,,300000.0,2022-02-07,335000.0,for_sale
1992,townhomes,1996.0,4.0,3.0,2.0,1.0,1.0,,,3.0,400000.0,2016-10-04,524900.0,for_sale
1319,condos,1925.0,4.0,3.0,2.0,1.0,2.0,,2350.0,4.0,421500.0,2003-01-15,1149999.0,for_sale
1994,multi_family,1888.0,6.0,2.0,2.0,,,4059.0,3108.0,,,,149000.0,for_sale
872,single_family,1900.0,4.0,4.0,3.0,1.0,,5314.0,4812.0,3.0,40000.0,1991-11-29,710000.0,for_sale
1933,condos,2007.0,1.0,1.0,1.0,,,,,10.0,180000.0,2019-10-02,225000.0,for_sale
379,condos,1921.0,2.0,2.0,2.0,,,,,2.0,,,225000.0,for_sale
1160,single_family,1952.0,3.0,2.0,2.0,,1.0,3810.0,,1.0,,,284900.0,for_sale
548,single_family,1955.0,3.0,1.0,1.0,,1.0,5140.0,1300.0,1.0,,,229900.0,for_sale
1544,single_family,1966.0,4.0,2.0,2.0,,2.0,,1040.0,,,,220000.0,for_sale
1573,condos,1966.0,2.0,2.0,2.0,,,,1088.0,24.0,227500.0,2023-05-26,270000.0,for_sale
645,townhomes,1966.0,3.0,2.0,1.0,1.0,,,1254.0,2.0,100000.0,2007-05-11,84900.0,for_sale
639,land,,,0.0,,,,,,,20000.0,2007-03-30,25000.0,for_sale
1594,single_family,1994.0,3.0,4.0,3.0,1.0,2.0,3354.0,1936.0,2.0,240000.0,1999-06-28,619900.0,for_sale
1619,single_family,1870.0,5.0,4.0,3.0,1.0,,,3000.0,2.0,94000.0,1996-12-02,330000.0,for_sale
397,condos,1891.0,2.0,2.0,2.0,,,,1300.0,4.0,260000.0,2016-01-27,575000.0,for_sale
277,condos,1925.0,2.0,1.0,1.0,,,,1100.0,3.0,219000.0,2018-11-01,255000.0,for_sale
270,single_family,1941.0,3.0,2.0,1.0,1.0,2.0,6395.0,1536.0,,280000.0,2023-04-24,309000.0,for_sale
880,condos,1971.0,2.0,1.0,1.0,,,,800.0,24.0,130000.0,2001-03-21,120000.0,for_sale
1033,condos,1930.0,2.0,1.0,1.0,,1.0,,,29.0,180000.0,2024-02-16,339900.0,for_sale
886,multi_family,1961.0,8.0,5.0,3.0,2.0,2.0,3875.0,,,,,750000.0,for_sale
1242,single_family,1918.0,4.0,3.0,3.0,,2.0,3123.0,1200.0,2.0,270000.0,2022-01-21,510000.0,for_sale
959,single_family,1928.0,3.0,2.0,2.0,,2.0,3750.0,1306.0,2.0,136000.0,1979-07-31,379000.0,for_sale
982,condos,2016.0,4.0,5.0,3.0,2.0,1.0,,3500.0,4.0,515000.0,2018-08-14,559900.0,for_sale
308,multi_family,1918.0,4.0,2.0,2.0,,1.0,37897.0,,,,,275000.0,for_sale
626,land,,,0.0,,,,3024.0,,,6764.0,1994-12-23,229999.0,for_sale
1551,multi_family,1885.0,9.0,3.0,3.0,,,2618.0,,,30000.0,2018-12-04,185000.0,for_sale
756,condos,1993.0,2.0,2.0,2.0,,1.0,13110.0,1350.0,5.0,,,339500.0,for_sale
1612,single_family,1941.0,2.0,2.0,1.0,1.0,2.0,3999.0,1087.0,2.0,57000.0,1988-11-09,188000.0,for_sale
169,condos,2006.0,2.0,2.0,2.0,,1.0,,1175.0,16.0,,,445000.0,for_sale
757,single_family,1915.0,2.0,3.0,2.0,1.0,,3125.0,960.0,1.0,80000.0,2022-12-21,225000.0,for_sale
1617,single_family,1924.0,3.0,3.0,1.0,2.0,,3900.0,1200.0,2.0,33000.0,1977-04-19,299999.0,for_sale
371,condos,1974.0,2.0,2.0,1.0,1.0,1.0,,1000.0,4.0,,,245000.0,for_sale
1010,condos,2005.0,2.0,2.0,2.0,,,,,4.0,,,299000.0,for_sale
1334,single_family,1924.0,3.0,1.0,1.0,,2.0,,1242.0,1.0,,,167500.0,for_sale
1070,single_family,1977.0,3.0,2.0,2.0,,2.0,3125.0,1500.0,,,,324000.0,for_sale
429,multi_family,1880.0,6.0,2.0,2.0,,,,,,58000.0,2007-04-05,185000.0,for_sale
1876,condos,2005.0,3.0,2.0,2.0,,2.0,,1550.0,7.0,489000.0,2005-04-27,599000.0,for_sale
795,single_family,1970.0,4.0,3.0,2.0,1.0,2.0,5619.0,2128.0,2.0,210000.0,1999-02-24,450000.0,for_sale
822,single_family,,3.0,4.0,3.0,1.0,2.0,3990.0,3300.0,2.0,165000.0,2020-10-27,575000.0,for_sale
1121,single_family,1922.0,4.0,2.0,2.0,,2.0,3746.0,1200.0,2.0,1121000.0,2000-02-02,225000.0,for_sale
589,single_family,1960.0,7.0,8.0,6.0,2.0,2.0,,6696.0,2.0,510000.0,1998-04-27,850000.0,for_sale
1311,condos,1905.0,2.0,2.0,2.0,,,,,7.0,189000.0,1999-09-24,379900.0,for_sale
1016,condos,2005.0,2.0,2.0,2.0,,,,1150.0,3.0,150000.0,2017-02-28,249000.0,for_sale
564,condos,2008.0,1.0,1.0,1.0,,1.0,,735.0,28.0,,,300000.0,for_sale
1448,condos,1947.0,1.0,1.0,1.0,,,,650.0,15.0,,,130000.0,for_sale
516,condos,1974.0,1.0,1.0,1.0,,,,700.0,28.0,44900.0,1983-07-01,164900.0,for_sale
302,townhomes,1945.0,3.0,2.0,2.0,,2.0,,1592.0,2.0,,,90000.0,for_sale
920,condos,1968.0,3.0,4.0,4.0,,400.0,,2985.0,70.0,,,1295000.0,for_sale
1828,condos,1931.0,2.0,2.0,2.0,,,,,3.0,90000.0,2021-04-14,225000.0,for_sale
1169,condos,1955.0,2.0,2.0,2.0,,1.0,,,19.0,266000.0,2014-12-03,335000.0,for_sale
185,condos,2006.0,1.0,1.0,1.0,,1.0,,864.0,24.0,,,265000.0,for_sale
1254,single_family,2024.0,7.0,8.0,7.0,1.0,3.0,4650.0,6965.0,,,,4400000.0,for_sale
218,single_family,1927.0,5.0,5.0,4.0,1.0,2.0,12502.0,4724.0,2.0,,,949873.0,for_sale
1516,single_family,2018.0,3.0,4.0,3.0,1.0,2.0,,4000.0,2.0,127500.0,2015-10-26,965000.0,for_sale
1316,condos,,3.0,2.0,2.0,,,,2000.0,3.0,,,325000.0,for_sale
1822,condos,1906.0,3.0,2.0,2.0,,,,1000.0,3.0,174000.0,2007-07-26,269900.0,for_sale
1110,condos,1972.0,1.0,1.0,1.0,,,,,26.0,165000.0,2005-11-29,159900.0,for_sale
902,single_family,1923.0,4.0,2.0,1.0,1.0,2.0,3125.0,1200.0,2.0,30000.0,1977-04-27,299000.0,for_sale
557,condos,1960.0,1.0,1.0,1.0,,,,,2.0,100000.0,2019-11-22,145000.0,for_sale
373,single_family,2024.0,5.0,4.0,3.0,1.0,2.0,3125.0,3600.0,2.0,,,1219900.0,for_sale
909,single_family,1920.0,3.0,1.0,1.0,,,,1110.0,1.0,,,99900.0,for_sale
1727,condos,1968.0,3.0,2.0,2.0,,1.0,,2000.0,14.0,162000.0,1999-06-08,249900.0,for_sale
1101,single_family,1925.0,3.0,3.0,3.0,,3.0,3750.0,1290.0,2.0,390000.0,2008-09-04,449900.0,for_sale
987,single_family,1905.0,5.0,4.0,4.0,,2.0,11873.0,2987.0,2.0,,,429000.0,for_sale
458,condos,,3.0,2.0,2.0,,,,1859.0,3.0,391500.0,2017-07-31,450000.0,for_sale
986,condos,1926.0,4.0,3.0,3.0,,,,2500.0,6.0,742500.0,2018-05-17,595000.0,for_sale
1245,condos,1900.0,3.0,5.0,3.0,2.0,2.0,,5000.0,20.0,725500.0,2000-02-28,1499000.0,for_sale
1877,condos,,3.0,2.0,2.0,,,,1800.0,3.0,335000.0,2018-04-24,450000.0,for_sale
42,single_family,1989.0,4.0,2.0,2.0,,1.0,3750.0,1240.0,2.0,,,224900.0,for_sale
1445,condos,,2.0,2.0,2.0,,,,,5.0,,,100000.0,for_sale
372,single_family,1926.0,1.0,1.0,1.0,,,,880.0,,,,99000.0,for_sale
1391,condos,1972.0,2.0,2.0,2.0,,1.0,,1700.0,45.0,380000.0,2023-09-11,415000.0,for_sale
1427,multi_family,1925.0,7.0,4.0,4.0,,2.0,3920.0,,,,,315000.0,for_sale
637,land,,,0.0,,,,2614.0,,,5000.0,2017-01-19,45000.0,for_sale
1078,single_family,1908.0,5.0,2.0,2.0,,2.0,4500.0,2072.0,3.0,145000.0,2005-06-21,150000.0,for_sale
876,condos,1919.0,4.0,2.0,2.0,,,,,3.0,472500.0,2020-10-20,384900.0,for_sale
1794,multi_family,1923.0,9.0,6.0,6.0,,3.0,3720.0,,,415000.0,2006-06-20,267750.0,for_sale
1290,condos,2003.0,3.0,2.0,2.0,,,,1760.0,3.0,515000.0,2015-12-21,679000.0,for_sale
417,condos,,2.0,2.0,2.0,,,,,1.0,324500.0,2014-09-04,449900.0,for_sale
24,single_family,1950.0,3.0,4.0,3.0,1.0,1.0,7841.0,1904.0,2.0,500000.0,2020-08-04,825000.0,for_sale
691,multi_family,1924.0,4.0,3.0,3.0,,2.0,3750.0,,,,,75000.0,for_sale
264,single_family,1941.0,4.0,1.0,1.0,,,4935.0,1200.0,2.0,205000.0,2019-12-16,280000.0,for_sale
976,single_family,1885.0,2.0,2.0,2.0,,4.0,3900.0,,1.0,25000.0,2015-04-17,89900.0,for_sale
1424,single_family,1910.0,5.0,7.0,5.0,2.0,3.0,3750.0,6100.0,2.0,210000.0,1987-05-01,3000000.0,for_sale
1883,multi_family,1890.0,5.0,5.0,4.0,1.0,,3049.0,,,155000.0,2022-10-14,260000.0,for_sale
534,condos,2016.0,2.0,2.0,2.0,,1.0,,,16.0,,,365000.0,for_sale
484,condos,2000.0,3.0,4.0,3.0,1.0,2.0,,3800.0,27.0,,,1995000.0,for_sale
1297,single_family,1944.0,4.0,3.0,3.0,,2.0,3964.0,3025.0,2.0,450000.0,2021-09-02,525000.0,for_sale
1652,single_family,1941.0,2.0,2.0,1.0,1.0,2.0,,940.0,2.0,,,84900.0,for_sale
104,condos,1928.0,2.0,2.0,2.0,,,,1200.0,4.0,160000.0,2017-11-02,229900.0,for_sale
643,land,,,0.0,,,,4356.0,,,5000.0,2014-03-05,60000.0,for_sale
73,multi_family,1912.0,8.0,3.0,3.0,,2.0,3485.0,3850.0,,665000.0,2021-05-06,799900.0,for_sale
630,land,,,0.0,,,,5663.0,,,34000.0,2004-08-06,39000.0,for_sale
704,single_family,1903.0,5.0,4.0,3.0,1.0,2.0,3335.0,4253.0,3.0,870000.0,2004-09-24,1750000.0,for_sale
829,single_family,1927.0,3.0,2.0,1.0,1.0,2.0,3136.0,882.0,1.0,165000.0,2003-05-15,150800.0,for_sale
746,multi_family,1920.0,6.0,2.0,2.0,,2.0,6250.0,,,,,135000.0,for_sale
1405,single_family,,5.0,4.0,4.0,,1.0,1368.0,,3.0,1350000.0,2018-04-30,2295000.0,for_sale
265,single_family,1940.0,3.0,2.0,2.0,,2.0,4200.0,1344.0,2.0,275000.0,2007-05-23,269900.0,for_sale
1407,condos,1949.0,2.0,2.0,2.0,,1.0,,1300.0,10.0,444500.0,2022-08-04,499900.0,for_sale
453,condos,2003.0,3.0,3.0,2.0,1.0,2.0,,1800.0,5.0,206000.0,2021-01-27,335000.0,for_sale
1065,multi_family,,6.0,2.0,2.0,,,3125.0,,,65000.0,2008-05-28,95000.0,for_sale
1870,multi_family,1924.0,7.0,6.0,3.0,3.0,2.0,3125.0,,,287500.0,2006-08-10,252798.0,for_sale
1173,condos,1926.0,1.0,1.0,1.0,,1.0,,1050.0,17.0,302500.0,2022-07-14,299000.0,for_sale
